block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,2.0,650.0,800.0,0,1,0,1.6612390829996002,,,,
prac,2,0.0,104.0,100.0,800.0,0,1,0,0.4643415410009766,,,,
prac,3,0.0,6.440000057220459,50.0,800.0,1,1,1,0.47851812500084634,,,,
prac,4,0.0,520.0,387.5,800.0,1,0,0,0.5459466249994875,,,,
main,1,0.0,260.0,437.5,800.0,1,0,0,0.3329352500004461,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,1,0,0,0.8470919579995098,0.34512672,2.5018456,0.28752378,1.4715083
main,3,0.0,4.300000190734863,412.5,800.0,0,0,1,0.7360843330006901,0.11573092,2.4975657,0.054607738,1.4738643
main,4,0.0,8.600000381469727,412.5,800.0,1,1,1,0.3979773750015738,0.07723495,2.4964547,0.03374525,1.4744121
main,5,0.0,12.899999618530273,387.5,800.0,0,0,1,0.6653437499990105,0.0679587,2.5133293,0.027728751,1.4652095
main,6,0.0,10.800000190734863,462.5,800.0,1,1,1,0.7551006670000788,0.060203258,2.509132,0.026722763,1.467326
main,7,0.0,104.0,112.5,800.0,0,1,0,0.6907672920006007,0.05997796,2.6974645,0.01991281,1.4036864
main,8,0.0,26.0,312.5,800.0,1,1,1,0.79316637500051,0.059807613,2.871001,0.014835123,1.3379455
main,9,0.0,104.0,112.5,800.0,1,0,0,0.6998307909998402,0.059728842,2.9875913,0.010829702,1.2807454
main,10,0.0,26.0,312.5,800.0,1,1,1,0.7003843330003292,0.0596857,3.10073,0.007940422,1.227395
main,11,0.0,26.0,312.5,800.0,0,0,1,0.6938899590004439,0.059662405,3.1943622,0.005791689,1.180014
main,12,0.0,26.0,312.5,800.0,1,1,1,1.0412415829996462,0.059649907,3.2729588,0.00420774,1.138371
main,13,0.0,10.800000190734863,487.5,800.0,0,1,0,0.9347990000005666,0.059643775,3.3600225,0.0030936312,1.0974736
main,14,0.0,10.800000190734863,487.5,800.0,0,0,1,0.814190957999017,0.059691098,2.3323615,0.008346244,1.0767127
main,15,0.0,104.0,112.5,800.0,1,1,1,0.9324564170001395,0.06000745,1.2877234,0.021715786,0.71977574
main,16,0.0,6.440000057220459,575.0,800.0,0,0,1,0.3942305000000488,0.059835773,1.3465401,0.015936486,0.706021
main,17,0.0,156.0,75.0,800.0,0,0,1,0.5563233339998988,0.059743594,1.4018433,0.011706317,0.6948477
main,18,0.0,2.0,712.5,800.0,1,0,0,0.6480779169996822,0.060290437,0.7831459,0.028822564,0.4403107
main,19,0.0,52.0,200.0,800.0,1,1,1,0.7541446670002188,0.06408876,0.30990022,0.07514015,0.2346806
main,20,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.8081092920001538,0.062002685,0.33047304,0.05491349,0.2278868
main,21,0.0,0.4300000071525574,12.5,800.0,0,0,1,1.016282125001453,0.060852252,0.3418189,0.039509818,0.22324231
main,22,0.0,12.899999618530273,462.5,800.0,0,0,1,0.4075231669994537,0.06591546,0.13273488,0.0901639,0.09970013
main,23,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.6055971250007133,0.06299775,0.14582014,0.066909865,0.094931215
main,24,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.6154039160010143,0.061311994,0.15338042,0.04856756,0.09121172
main,25,0.0,21.5,387.5,800.0,1,1,1,0.6260776670005725,0.075835615,0.04846398,0.15426534,0.05155505
main,26,0.0,0.4300000071525574,12.5,800.0,0,0,1,1.031872542000201,0.06877812,0.06584677,0.12761147,0.049665388
main,27,0.0,21.5,375.0,800.0,1,1,1,1.1170985410008143,0.066060044,0.06357771,0.13115986,0.04946323
main,28,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.3250950000001467,0.059218798,0.07834577,0.10334079,0.04310342
main,29,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.96304954200059,0.05444972,0.088640645,0.077950776,0.03448905
main,30,0.0,21.5,362.5,800.0,0,0,1,0.8448193750009523,0.051123403,0.094188295,0.059755586,0.027200371
